from,to,weight
albania,montenegro,
albania,kosovo,
albania,macedonia,
albania,kosovo,
albania,greece,
andorra,france,
andorra,spain,
armenia,turkey,
armenia,georgia,
armenia,russia,
armenia,iran,
austria,germany,
austria,czech,
austria,slovakia,
austria,hungary,
austria,slovenia,
austria,italy,
austria,liechtenstein,
azerbaijan,russia,
azerbaijan,georgia,
azerbaijan,armenia,
azerbaijan,iran,
azerbaijan,turkey,
belarus,russia,
belarus,ukraine,
belarus,poland,
belarus,lithuania,
belarus,latvia,
belgium,netherlands,
belgium,germany,
belgium,luxembourg,
belgium,france,
bosnia,serbia,
bosnia,montenegro,
bosnia,croatia,
bulgaria,romania,
bulgaria,serbia,
bulgaria,macedonia,
bulgaria,greece,
bulgaria,turkey,
croatia,slovenia,
croatia,hungary,
croatia,serbia,
croatia,bosnia,
croatia,montenegro,
czech,austria,
czech,germany,
czech,poland,
czech,slovakia,
denmark,germany,
estonia,latvia,
estonia,russia,
finland,sweden,
finland,russia,
finland,norway,
france,belgium,
france,luxembourg,
france,germany,
france,switzerland,
france,monaco,
france,italy,
france,andorra,
france,spain,
georgia,russia,
georgia,turkey,
georgia,armenia,
georgia,azerbaijan,
germany,denmark,
germany,poland,
germany,czech,
germany,austria,
germany,switzerland,
germany,france,
germany,luxembourg,
germany,belgium,
germany,netherlands,
greece,albania,
greece,macedonia,
greece,bulgaria,
greece,turkey,
hungary,slovakia,
hungary,ukraine,
hungary,slovenia,
hungary,austria,
ireland,uk,
italy,france,
italy,switzerland,
italy,austria,
italy,slovenia,
italy,vatican,
italy,sanmarino,
kazakhstan,russia,
kazakhstan,china,
kazakhstan,kyrgyzstan,
kazakhstan,usbekistan,
kazakhstan,turkmenistan,
latvia,estonia,
latvia,lithuania,
latvia,russia,
liechtenstein,switzerland,
liechtenstein,austria,
lithuania,russia,
lithuania,belarus,
lithuania,latvia,
lithuania,poland,
luxembourg,belgium,
luxembourg,germany,
luxembourg,france,
moldova,romania,
moldova,ukraine,
monaco,france,
montenegro,serbia,
montenegro,bosnia,
montenegro,albania,
montenegro,kosovo,
montenegro,croatia,
netherlands,germany,
netherlands,belgium,
macedonia,kosovo,
macedonia,serbia,
macedonia,bulgaria,
macedonia,greece,
macedonia,albania,
norway,finland,
norway,russia,
norway,sweden,
poland,lithuania,
poland,russia,
poland,belarus,
poland,ukraine,
poland,slovakia,
poland,czech,
poland,germany,
portugal,spain,
romania,bulgaria,
romania,ukraine,
romania,hungary,
romania,serbia,
romania,moldova,
russia,norway,
russia,finland,
russia,estonia,
russia,latvia,
russia,lithuania,
russia,poland,
russia,belarus,
russia,ukraine,
russia,georgia,
russia,azerbaijan,
russia,kazakhstan,
russia,china,
russia,mongolia,
russia,northkorea,
sanmarino,italy,
serbia,hungary,
serbia,romania,
serbia,bulgaria,
serbia,macedonia,
serbia,croatia,
serbia,bosnia,
serbia,montenegro,
serbia,kosovo,
slovakia,poland,
slovakia,ukraine,
slovakia,hungary,
slovakia,austria,
slovakia,czech,
slovenia,italy,
slovenia,austria,
slovenia,hungary,
slovenia,croatia,
spain,andorra,
spain,france,
spain,portugal,
sweden,norway,
sweden,finland,
switzerland,italy,
switzerland,france,
switzerland,germany,
switzerland,austria,
switzerland,liechtenstein,
turkey,greece,
turkey,bulgaria,
turkey,georgia,
turkey,armenia,
turkey,azerbaijan,
turkey,iran,
turkey,iraq,
turkey,syria,
ukraine,russia,
ukraine,belarus,
ukraine,poland,
ukraine,slovakia,
ukraine,hungary,
ukraine,romania,
ukraine,moldova,
uk,ireland,
vatican,italy,
kosovo,serbia,
kosovo,macedonia,
kosovo,albania,
kosovo,montenegro,
