id,name,group
albania,albania,
armenia,armenia,
austria,austria,
azerbaijan,azerbaijan,
belarus,belarus,
belgium,belgium,
bosnia,bosnia,
bulgaria,bulgaria,
china,china,
croatia,croatia,
croatia,croatia,
czech,czech,
denmark,denmark,
estonia,estonia,
estonia,estonia,
finland,finland,
france,france,
georgia,georgia,
germany,germany,
greece,greece,
hungary,hungary,
iran,iran,
iraq,iraq,
ireland,ireland,
italy,italy,
kazakhstan,kazakhstan,
kosovo,kosovo,
kyrgyzstan,kyrgyzstan,
latvia,latvia,
liechtenstein,liechtenstein,
lithuania,lithuania,
luxembourg,luxembourg,
macedonia,macedonia,
moldova,moldova,
monaco,monaco,
mongolia,mongolia,
montenegro,montenegro,
netherlands,netherlands,
northkorea,northkorea,
norway,norway,
poland,poland,
portugal,portugal,
romania,romania,
russia,russia,
sanmarino,sanmarino,
serbia,serbia,
slovakia,slovakia,
slovenia,slovenia,
spain,spain,
sweden,sweden,
switzerland,switzerland,
syria,syria,
turkey,turkey,
turkmenistan,turkmenistan,
uk,uk,
ukraine,ukraine,
usbekistan,usbekistan,
vatican,vatican,
